"bkz";"gkz";"name";"wber";"abg";"ung";"gueltig";"vp";"sp";"fp";"gr";"ne";"so"
305;30522;"Oed-Oehling";1597;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30524;"Opponitz";676;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30526;"St. Georgen am Reith";435;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30527;"St. Georgen am Ybbsfelde";2209;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30529;"St. Pantaleon-Erla";2118;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30530;"St. Peter in der Au";4066;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30531;"St. Valentin";7414;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30532;"Seitenstetten";2635;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30533;"Sonntagberg";2876;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30534;"Strengberg";1733;1479;30;1449;549;224;371;103;140;62
305;30536;"Viehdorf";1072;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30538;"Wallsee-Sindelburg";1710;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30539;"Weistrach";1976;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30541;"Winklarn";1441;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30542;"Wolfsbach";1655;1368;14;1354;580;155;383;65;121;50
305;30543;"Ybbsitz";2723;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30544;"Zeillern";1527;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30601;"Alland";2025;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30602;"Altenmarkt an der Triesting";1547;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30603;"Bad Vöslau";8841;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30604;"Baden";18373;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30605;"Berndorf";6224;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30607;"Ebreichsdorf";8517;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30608;"Enzesfeld-Lindabrunn";3306;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30609;"Furth an der Triesting";670;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30612;"Günselsdorf";1258;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30613;"Heiligenkreuz";1129;940;11;929;320;142;249;78;91;49
306;30614;"Hernstein";1258;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30615;"Hirtenberg";1565;1136;10;1126;149;336;449;36;49;107
306;30616;"Klausen-Leopoldsdorf";1329;1054;8;1046;289;183;394;39;90;51
306;30618;"Kottingbrunn";5566;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30620;"Leobersdorf";3817;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30621;"Mitterndorf an der Fischa";2154;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30623;"Oberwaltersdorf";3785;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30625;"Pfaffstätten";2598;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30626;"Pottendorf";5477;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30627;"Pottenstein";2157;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30629;"Reisenberg";1314;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30631;"Schönau an der Triesting";1618;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30633;"Seibersdorf";1283;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30635;"Sooß";768;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30636;"Tattendorf";1102;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30637;"Teesdorf";1430;1171;4;1167;268;358;343;50;89;59
306;30639;"Traiskirchen";13271;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30641;"Trumau";2583;NA;NA;NA;NA;NA;NA;NA;NA;NA
306;30645;"Weissenbach an der Triesting";1266;998;14;984;269;217;332;46;76;44
306;30646;"Blumau-Neurißhof";1442;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30701;"Au am Leithaberge";731;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30702;"Bad Deutsch-Altenburg";1278;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30703;"Berg";484;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30704;"Bruck an der Leitha";5929;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30706;"Enzersdorf an der Fischa";2614;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30708;"Göttlesbrunn-Arbesthal";1141;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30709;"Götzendorf an der Leitha";1594;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30710;"Hainburg a.d. Donau";3480;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30711;"Haslau-Maria Ellend";1497;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30712;"Höflein";986;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30713;"Hof am Leithaberge";1244;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30715;"Hundsheim";494;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30716;"Mannersdorf am Leithagebirge";2894;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30718;"Petronell-Carnuntum";932;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30719;"Prellenkirchen";1207;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30721;"Rohrau";1216;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30722;"Scharndorf";951;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30724;"Sommerein";1702;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30726;"Trautmannsdorf an der Leitha";2304;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30728;"Wolfsthal";530;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30729;"Ebergassing";2899;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30730;"Fischamend";4026;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30731;"Gramatneusiedl";2364;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30732;"Himberg";5965;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30733;"Klein-Neusiedl";616;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30734;"Lanzendorf";1399;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30735;"Leopoldsdorf";4017;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30736;"Maria-Lanzendorf";1691;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30737;"Moosbrunn";1351;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30738;"Rauchenwarth";602;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30739;"Schwadorf";1565;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30740;"Schwechat";13519;NA;NA;NA;NA;NA;NA;NA;NA;NA
307;30741;"Zwölfaxing";1243;937;13;924;234;196;329;43;80;42
308;30801;"Aderklaa";161;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30802;"Andlersdorf";122;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30803;"Angern an der March";2602;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30804;"Auersthal";1491;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30805;"Bad Pirawarth";1362;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30808;"Deutsch-Wagram";6613;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30810;"Drösing";894;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30811;"Dürnkrut";1776;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30812;"Ebenthal";682;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30813;"Eckartsau";967;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30814;"Engelhartstetten";1590;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30817;"Gänserndorf";8423;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30819;"Glinzendorf";245;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30821;"Groß-Enzersdorf";8716;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30822;"Großhofen";65;50;1;49;26;2;13;1;2;5
308;30824;"Groß-Schweinbarth";992;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30825;"Haringsee";918;739;2;737;271;141;217;28;44;36
308;30826;"Hauskirchen";1017;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30827;"Hohenau an der March";2050;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30828;"Hohenruppersdorf";766;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30829;"Jedenspeigen";918;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30830;"Lassee";2189;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30831;"Leopoldsdorf im Marchfeld";2175;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30834;"Mannsdorf an der Donau";258;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30835;"Marchegg";2086;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30836;"Markgrafneusiedl";718;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30838;"Matzen-Raggendorf";2192;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30841;"Neusiedl an der Zaya";977;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30842;"Obersiebenbrunn";1338;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30844;"Orth an der Donau";1671;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30845;"Palterndorf-Dobermannsdorf";992;760;4;756;278;118;271;13;43;33
308;30846;"Parbasdorf";137;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30848;"Prottes";1090;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30849;"Raasdorf";439;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30850;"Ringelsdorf-Niederabsdorf";1021;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30852;"Schönkirchen-Reyersdorf";1501;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30854;"Spannberg";774;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30856;"Strasshof an der Nordbahn";8012;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30857;"Sulz im Weinviertel";995;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30858;"Untersiebenbrunn";1315;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30859;"Velm-Götzendorf";619;509;9;500;182;70;169;24;30;25
308;30860;"Weikendorf";1536;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30863;"Zistersdorf";4336;NA;NA;NA;NA;NA;NA;NA;NA;NA
308;30865;"Weiden an der March";761;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30902;"Amaliendorf-Aalfang";919;729;7;722;120;209;287;31;40;35
309;30903;"Brand-Nagelberg";1219;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30904;"Eggern";570;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30906;"Eisgarn";563;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30908;"Gmünd";3885;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30909;"Großdietmanns";1809;1493;26;1467;499;285;498;60;71;54
309;30910;"Bad Großpertholz";1055;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30912;"Großschönau";981;840;18;822;363;78;248;52;34;47
309;30913;"Moorbad Harbach";567;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30915;"Haugschlag";393;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30916;"Heidenreichstein";3160;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30917;"Hirschbach";492;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30920;"Hoheneich";1146;961;19;942;293;209;276;53;52;59
309;30921;"Kirchberg am Walde";1053;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30925;"Litschau";1784;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30929;"Reingers";520;423;9;414;150;57;139;27;23;18
309;30932;"St. Martin";881;697;17;680;226;99;263;27;34;31
309;30935;"Schrems";4279;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30939;"Unserfrau-Altweitra";812;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30940;"Waldenstein";964;NA;NA;NA;NA;NA;NA;NA;NA;NA
309;30942;"Weitra";2163;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31001;"Alberndorf im Pulkautal";590;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31008;"Göllersdorf";2401;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31009;"Grabern";1334;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31014;"Guntersdorf";947;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31015;"Hadres";1409;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31016;"Hardegg";1070;890;9;881;419;111;235;33;43;40
310;31018;"Haugsdorf";1300;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31019;"Heldenberg";1144;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31021;"Hohenwarth-Mühlbach a.M.";1112;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31022;"Hollabrunn";9381;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31025;"Mailberg";453;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31026;"Maissau";1596;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31028;"Nappersdorf-Kammersdorf";995;796;11;785;326;102;245;31;47;34
310;31033;"Pernersdorf";854;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31035;"Pulkau";1223;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31036;"Ravelsbach";1365;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31037;"Retz";3461;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31038;"Retzbach";790;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31041;"Schrattenthal";745;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31042;"Seefeld-Kadolz";797;627;6;621;172;160;199;20;33;37
310;31043;"Sitzendorf an der Schmida";1812;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31051;"Wullersdorf";1989;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31052;"Zellerndorf";2000;NA;NA;NA;NA;NA;NA;NA;NA;NA
310;31053;"Ziersdorf";2763;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31101;"Altenburg";678;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31102;"Brunn an der Wild";677;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31103;"Burgschleinitz-Kühnring";1101;930;12;918;402;108;278;37;53;40
311;31104;"Drosendorf-Zissersdorf";948;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31105;"Eggenburg";2841;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31106;"Gars am Kamp";2877;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31107;"Geras";1054;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31109;"Horn";5153;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31110;"Irnfritz-Messern";1173;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31111;"Japons";585;507;3;504;275;46;129;12;23;19
311;31113;"Langau";565;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31114;"Meiseldorf";720;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31117;"Pernegg";564;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31119;"Röhrenbach";423;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31120;"Röschitz";920;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31121;"Rosenburg-Mold";655;537;12;525;204;45;187;26;37;26
311;31123;"St. Bernhard-Frauenhofen";1077;951;8;943;423;86;282;38;69;45
311;31124;"Sigmundsherberg";1386;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31129;"Weitersfeld";1282;NA;NA;NA;NA;NA;NA;NA;NA;NA
311;31130;"Straning-Grafenberg";582;494;9;485;184;82;142;28;29;20
312;31201;"Bisamberg";3679;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31202;"Enzersfeld im Weinviertel";1454;1216;11;1205;413;235;305;60;137;55
312;31203;"Ernstbrunn";2572;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31204;"Großmugl";1326;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31205;"Großrußbach";1803;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31206;"Hagenbrunn";1749;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31207;"Harmannsdorf";3283;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31208;"Hausleiten";3008;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31213;"Korneuburg";9726;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31214;"Langenzersdorf";6292;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31215;"Leitzersdorf";947;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31216;"Leobendorf";4087;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31224;"Rußbach";1127;952;11;941;379;156;242;46;77;41
312;31226;"Sierndorf";3115;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31227;"Spillern";1973;1540;23;1517;322;406;476;88;132;93
312;31228;"Stetteldorf am Wagram";847;731;10;721;300;102;194;37;50;38
312;31229;"Stetten";1082;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31230;"Stockerau";12347;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31234;"Niederhollabrunn";1228;NA;NA;NA;NA;NA;NA;NA;NA;NA
312;31235;"Gerasdorf bei Wien";8787;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31301;"Aggsbach";530;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31302;"Albrechtsberg an der Großen Krems";835;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31303;"Bergern im Dunkelsteinerwald";1063;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31304;"Dürnstein";683;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31308;"Grafenegg";2576;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31309;"Furth bei Göttweig";2360;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31310;"Gedersdorf";1700;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31311;"Gföhl";3139;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31315;"Hadersdorf-Kammern";1599;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31319;"Jaidhof";986;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31321;"Krumau am Kamp";609;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31322;"Langenlois";5954;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31323;"Lengenfeld";1114;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31324;"Lichtenau im Waldviertel";1707;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31326;"Maria Laach am Jauerling";747;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31327;"Mautern an der Donau";2758;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31330;"Mühldorf";1045;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31333;"Paudorf";2113;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31336;"Rastenfeld";1281;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31337;"Rohrendorf bei Krems";1618;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31338;"Rossatz-Arnsdorf";845;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31340;"St. Leonhard am Hornerwald";933;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31343;"Senftenberg";1506;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31344;"Spitz";1253;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31346;"Straß im Straßertale";1357;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31347;"Stratzing";721;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31350;"Weinzierl am Walde";1022;884;12;872;381;93;287;28;43;40
313;31351;"Weißenkirchen in der Wachau";1139;NA;NA;NA;NA;NA;NA;NA;NA;NA
313;31355;"Schönberg am Kamp";1520;1281;9;1272;470;162;354;114;113;59
313;31356;"Droß";812;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31401;"Annaberg";399;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31402;"Eschenau";1022;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31403;"Hainfeld";2915;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31404;"Hohenberg";1112;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31405;"Kaumberg";837;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31406;"Kleinzell";690;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31407;"Lilienfeld";1907;1535;23;1512;495;332;377;123;97;88
314;31408;"Mitterbach am Erlaufsee";397;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31409;"Ramsau";611;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31410;"Rohrbach an der Gölsen";1200;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31411;"St. Aegyd am Neuwalde";1460;1245;32;1213;337;363;355;44;56;58
314;31412;"St. Veit an der Gölsen";3008;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31413;"Traisen";2365;NA;NA;NA;NA;NA;NA;NA;NA;NA
314;31414;"Türnitz";1520;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31502;"Artstetten-Pöbring";976;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31503;"Bergland";1496;1247;10;1237;486;173;390;51;84;53
315;31504;"Bischofstetten";938;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31505;"Blindenmarkt";2019;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31506;"Dorfstetten";451;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31507;"Dunkelsteinerwald";1982;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31508;"Erlauf";910;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31509;"Golling an der Erlauf";1116;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31511;"Hofamt Priel";1385;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31513;"Hürm";1576;1318;14;1304;562;158;345;71;96;72
315;31514;"Kilb";2104;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31515;"Kirnberg an der Mank";886;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31516;"Klein-Pöchlarn";816;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31517;"Krummnußbaum";1290;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31519;"Leiben";1064;908;9;899;233;239;268;57;62;40
315;31520;"Loosdorf";3035;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31521;"Mank";2611;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31522;"Marbach an der Donau";1299;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31523;"Maria Taferl";734;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31524;"Melk";4172;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31525;"Münichreith-Laimbach";1333;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31527;"Neumarkt an der Ybbs";1592;1309;12;1297;310;312;499;43;66;67
315;31528;"Nöchling";820;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31530;"Persenbeug-Gottsdorf";1761;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31531;"Petzenkirchen";1128;897;16;881;195;213;317;37;57;62
315;31533;"Pöchlarn";2921;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31534;"Pöggstall";1955;1559;26;1533;589;202;535;64;82;61
315;31535;"Raxendorf";831;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31537;"Ruprechtshofen";1857;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31539;"St. Leonhard am Forst";2462;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31540;"St. Martin-Karlsbach";1323;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31541;"St. Oswald";909;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31542;"Schönbühel-Aggsbach";782;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31543;"Schollach";835;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31546;"Weiten";892;743;13;730;301;89;254;13;40;33
315;31549;"Ybbs an der Donau";4061;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31550;"Zelking-Matzleinsdorf";976;829;8;821;328;136;199;35;77;46
315;31551;"Texingtal";1297;NA;NA;NA;NA;NA;NA;NA;NA;NA
315;31552;"Yspertal";1631;1299;23;1276;366;238;480;61;79;52
315;31553;"Emmersdorf an der Donau";1387;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31601;"Altlichtenwarth";608;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31603;"Asparn an der Zaya";1540;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31604;"Bernhardsthal";1252;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31605;"Bockfließ";998;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31606;"Drasenhofen";870;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31608;"Falkenstein";441;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31609;"Fallbach";668;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31611;"Gaubitsch";744;663;9;654;336;56;166;25;50;21
316;31612;"Gaweinstal";3160;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31613;"Gnadendorf";990;824;14;810;361;125;194;44;56;30
316;31614;"Großebersdorf";1800;1476;13;1463;541;195;475;70;114;68
316;31615;"Großengersdorf";1173;1001;8;993;329;232;268;46;72;46
316;31616;"Großharras";901;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31617;"Großkrut";1375;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31620;"Hausbrunn";660;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31621;"Herrnbaumgarten";741;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31622;"Hochleithen";924;762;7;755;286;138;192;37;63;39
316;31627;"Kreuttal";1198;1016;10;1006;337;222;217;74;104;52
316;31628;"Kreuzstetten";1344;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31629;"Laa an der Thaya";5041;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31630;"Ladendorf";1877;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31633;"Mistelbach";9362;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31634;"Neudorf im Weinviertel";1099;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31636;"Niederleis";751;638;6;632;201;108;211;27;60;25
316;31642;"Pillichsdorf";966;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31644;"Poysdorf";4310;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31645;"Rabensburg";837;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31646;"Schrattenberg";660;NA;NA;NA;NA;NA;NA;NA;NA;NA
316;31649;"Staatz";1641;1401;23;1378;553;214;414;56;75;66
